Date,Open,High,Low,Close,Adj Close,Volume
2017-07-24,855.000000,870.000000,847.500000,867.549988,849.356934,9839088
2017-07-25,879.500000,879.500000,866.525024,869.825012,851.584290,5580234
2017-07-26,871.000000,877.500000,866.250000,873.775024,855.451416,1947672
2017-07-27,878.000000,899.400024,875.775024,894.825012,876.060059,8980856
2017-07-28,886.000000,893.250000,880.549988,889.250000,870.601929,4627698
2017-07-31,888.775024,895.500000,883.275024,892.200012,873.490051,3684570
2017-08-01,890.924988,904.575012,886.099976,898.599976,879.755798,4258430
2017-08-02,903.500000,903.500000,891.025024,895.825012,877.039063,3698958
2017-08-03,894.000000,896.000000,887.200012,889.974976,871.311646,2128392
2017-08-04,888.500000,898.375000,883.075012,895.125000,876.353699,1772534
2017-08-07,893.000000,898.224976,892.500000,894.275024,875.521484,959330
2017-08-08,896.049988,898.625000,883.049988,888.950012,870.308228,2017686
2017-08-09,885.500000,888.525024,879.174988,882.224976,863.724182,1635028
2017-08-10,880.000000,883.000000,876.424988,880.224976,861.766113,3894222
2017-08-11,872.500000,879.000000,865.575012,874.525024,856.185669,3179918
2017-08-14,876.500000,887.474976,874.000000,878.599976,860.175232,1788542
2017-08-16,881.174988,894.900024,874.275024,890.625000,871.947998,2213416
2017-08-17,888.125000,890.474976,876.875000,882.700012,864.189209,2727434
2017-08-18,880.000000,880.500000,871.500000,876.075012,857.703186,1853732
2017-08-21,877.000000,879.500000,869.099976,871.599976,853.322021,2004862
2017-08-22,875.650024,877.000000,868.400024,873.500000,855.182190,3304778
2017-08-23,875.000000,888.974976,875.000000,886.224976,867.640320,1680262
2017-08-24,887.450012,887.474976,879.575012,881.250000,862.769653,3939138
2017-08-28,881.200012,885.575012,879.174988,881.125000,862.647278,753892
2017-08-29,879.500000,879.500000,869.000000,873.075012,854.766113,2459298
2017-08-30,875.974976,885.000000,875.025024,884.275024,865.731262,1347160
2017-08-31,886.000000,889.924988,878.200012,888.224976,869.598328,3651718
2017-09-01,890.500000,890.724976,880.549988,883.799988,865.266174,1147586
2017-09-04,882.500000,882.500000,873.049988,875.450012,857.091248,1821262
2017-09-05,878.500000,882.450012,875.500000,877.674988,859.269592,1841218
2017-09-06,871.875000,881.400024,869.000000,879.950012,861.496948,2875816
2017-09-07,880.049988,888.375000,880.049988,883.275024,864.752258,3473210
2017-09-08,886.700012,895.000000,885.500000,893.825012,875.080933,4155832
2017-09-11,896.500000,914.500000,895.099976,911.674988,892.556641,5738838
2017-09-12,913.849976,919.950012,909.150024,917.599976,898.357300,3343840
2017-09-13,917.500000,924.500000,912.000000,920.924988,901.612671,2497688
2017-09-14,920.075012,926.250000,915.750000,919.700012,900.413391,4077008
2017-09-15,918.000000,925.900024,916.724976,924.474976,905.088196,1883666
2017-09-18,926.775024,932.224976,926.250000,930.224976,910.717590,2042464
2017-09-19,932.450012,934.000000,923.775024,924.849976,905.455322,2120734
2017-09-20,924.000000,930.724976,922.625000,924.424988,905.039246,1723064
2017-09-21,924.000000,924.250000,915.349976,919.549988,900.266479,3856248
2017-09-22,917.400024,919.474976,910.000000,912.049988,892.923767,4121762
2017-09-25,911.224976,911.224976,896.299988,899.875000,881.004089,5074614
2017-09-26,894.525024,898.299988,892.500000,896.150024,877.357178,5719366
2017-09-27,898.000000,902.799988,885.000000,888.250000,869.622803,3668610
2017-09-28,887.000000,899.500000,881.650024,897.650024,878.825745,13823232
2017-09-29,900.049988,911.000000,898.125000,902.849976,883.916687,3106816
2017-10-03,904.000000,910.500000,898.549988,904.424988,885.458618,2197212
2017-10-04,903.950012,905.950012,896.674988,898.500000,879.657837,3312552
2017-10-05,897.500000,902.500000,896.549988,899.299988,880.441101,1668098
2017-10-06,899.000000,902.224976,897.000000,900.049988,881.175354,1515330
2017-10-09,899.400024,901.500000,895.250000,897.750000,878.923584,1531246
2017-10-10,899.500000,907.474976,896.325012,901.349976,882.448181,1899090
2017-10-11,901.625000,907.625000,893.799988,895.075012,876.304810,2633720
2017-10-12,897.549988,910.724976,894.000000,909.400024,890.329346,2690780
2017-10-13,913.349976,928.275024,911.000000,925.400024,905.993774,3216732
2017-10-16,930.000000,936.625000,921.000000,928.575012,909.102234,1637272
2017-10-17,925.000000,926.849976,919.549988,925.625000,906.214050,1306644
2017-10-18,920.500000,937.500000,919.500000,934.250000,914.658203,1963360
2017-10-19,930.900024,932.500000,920.325012,924.200012,904.818970,285004
2017-10-23,929.950012,934.849976,918.025024,931.650024,912.112732,2081446
2017-10-24,931.500000,939.799988,926.500000,933.549988,913.972839,5664436
2017-10-25,930.000000,931.500000,892.500000,897.549988,878.727783,10683604
2017-10-26,884.000000,905.000000,878.924988,897.674988,878.850220,14285732
2017-10-27,902.200012,903.750000,889.500000,895.525024,876.745361,3736044
2017-10-30,899.125000,908.000000,896.200012,907.500000,888.469177,2711176
2017-10-31,905.750000,905.750000,899.625000,904.250000,885.287354,2341230
2017-11-01,907.549988,912.500000,906.000000,910.599976,891.504089,2095306
2017-11-02,911.500000,914.900024,908.474976,911.049988,891.944702,2368972
2017-11-03,912.849976,920.000000,910.799988,915.349976,896.154541,1905244
2017-11-06,912.500000,920.000000,911.299988,914.299988,895.126587,3074122
2017-11-07,919.000000,922.474976,910.375000,911.849976,892.727905,3723188
2017-11-08,912.599976,916.799988,909.500000,912.974976,893.829346,1641572
2017-11-09,913.500000,917.500000,910.549988,913.924988,894.759460,1556654
2017-11-10,910.849976,917.400024,906.174988,911.000000,891.895752,3872180
2017-11-13,911.000000,911.575012,897.500000,906.775024,887.759399,1667936
2017-11-14,907.950012,909.500000,900.000000,901.174988,882.276794,2356234
2017-11-15,899.000000,901.825012,894.000000,900.125000,881.248840,3074184
2017-11-16,902.000000,908.000000,897.599976,903.849976,884.895691,2006486
2017-11-17,914.349976,919.150024,906.575012,912.775024,893.633606,3179386
2017-11-20,914.500000,919.849976,914.500000,919.075012,899.801453,1196212
2017-11-21,918.724976,925.000000,918.049988,923.125000,903.766479,1137766
2017-11-22,924.849976,930.000000,922.275024,927.625000,908.172180,2830398
2017-11-23,929.500000,930.000000,919.000000,921.424988,902.102173,1616290
